Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egz.
Petras         Petraitis      10        5         7         1         3         7
Jonas          Tomaitis       7         4         1         9         1         8
Jonas          Valdaitis      1         9         7         1         9         1
Virgis         Kazaitis       1         8         5         5         2         3
Mantas         Tomaitis       7         10        9         6         4         9
Lukas          Romaitis       7         9         1         10        10        5
Virgis         Tomaitis       3         6         8         5         1         1
Tomas          Kazaitis       6         4         9         8         8         7
Matas          Mataitis       8         5         1         6         5         9
Valdas         Virgaitis      5         1         10        10        2         5
Petras         Lukaitis       9         3         6         4         7         9
Jonas          Lukaitis       10        3         2         1         2         3
Kazys          Jonaitis       8         10        5         4         9         5
Lukas          Mataitis       2         8         6         6         4         6
Valdas         Petraitis      9         9         6         5         5         9
Matas          Petraitis      4         10        6         7         2         10
Petras         Jonaitis       6         2         9         3         10        10
Antanas        Romaitis       2         5         4         9         5         5
Petras         Kazaitis       6         9         10        9         10        5
Mantas         Valdaitis      9         5         4         9         4         3
Valdas         Jonaitis       2         10        5         7         6         8
Antanas        Jonaitis       7         1         2         2         1         8
Jonas          Virgaitis      2         5         8         7         3         5
Jonas          Lukaitis       2         5         1         2         5         9
Romas          Antanaitis     1         4         8         2         9         9
Romas          Lukaitis       9         7         8         8         7         7
Mantas         Virgaitis      1         10        4         10        5         9
Petras         Jonaitis       2         4         5         2         1         9
Jonas          Mataitis       2         10        10        5         3         10
Tomas          Mataitis       2         8         2         1         2         10
Romas          Lukaitis       7         7         2         1         2         10
Mantas         Mantaitis      4         3         4         6         3         1
Jonas          Petraitis      1         1         1         2         2         6
Jonas          Petraitis      7         4         7         4         8         6
Valdas         Petraitis      4         2         2         8         4         1
Valdas         Virgaitis      4         6         6         4         8         1
Matas          Antanaitis     2         10        4         6         5         4
Antanas        Mantaitis      6         10        5         5         4         4
Matas          Kazaitis       10        3         5         8         9         7
Lukas          Antanaitis     4         2         8         10        6         9
Jonas          Kazaitis       4         7         5         9         3         2
Romas          Valdaitis      8         3         10        3         2         9
Virgis         Lukaitis       1         7         6         10        9         2
Kazys          Tomaitis       6         3         3         3         7         4
Matas          Kazaitis       6         10        5         5         4         4
Jonas          Mantaitis      7         7         3         10        5         6
Romas          Jonaitis       4         4         10        5         10        7
Romas          Antanaitis     8         1         2         8         9         1
Romas          Mantaitis      9         6         10        9         6         6
Antanas        Jonaitis       6         4         8         9         2         8
Lukas          Tomaitis       8         10        3         5         3         6
Matas          Valdaitis      4         4         2         8         2         3
Virgis         Valdaitis      3         5         4         2         2         10
Matas          Petraitis      4         6         3         4         6         7
Matas          Petraitis      5         6         9         6         1         3
Kazys          Virgaitis      10        3         1         7         9         7
Romas          Jonaitis       8         1         3         1         3         1
Valdas         Tomaitis       10        8         4         6         2         2
Lukas          Jonaitis       8         6         6         3         10        9
Lukas          Romaitis       4         5         5         3         10        9
Lukas          Petraitis      5         8         1         8         7         2
Romas          Virgaitis      5         10        7         8         10        2
Virgis         Lukaitis       10        7         10        6         2         8
Virgis         Petraitis      6         3         9         2         7         3
Mantas         Virgaitis      5         7         7         5         8         5
Antanas        Lukaitis       3         9         8         5         7         4
Petras         Petraitis      9         9         1         4         10        3
Antanas        Tomaitis       2         9         2         8         10        3
Mantas         Tomaitis       10        3         9         1         4         4
Mantas         Lukaitis       1         7         5         9         3         4
Mantas         Jonaitis       4         6         10        10        2         10
Jonas          Virgaitis      1         1         3         2         4         3
Lukas          Lukaitis       8         7         10        9         1         8
Petras         Antanaitis     9         4         5         2         2         9
Antanas        Kazaitis       1         6         5         3         3         8
Petras         Mataitis       2         1         5         10        8         4
Kazys          Mataitis       7         2         1         9         7         4
Kazys          Tomaitis       9         1         4         3         8         5
Tomas          Virgaitis      6         9         4         4         9         4
Jonas          Antanaitis     8         5         8         5         5         8
Matas          Jonaitis       5         7         5         9         7         8
Valdas         Mantaitis      5         9         2         10        3         7
Petras         Antanaitis     9         4         3         6         1         9
Petras         Romaitis       1         9         9         5         4         7
Kazys          Lukaitis       4         8         1         8         1         5
Antanas        Virgaitis      2         6         9         9         3         2
Petras         Antanaitis     6         5         4         7         4         10
Matas          Virgaitis      9         5         6         10        3         5
Tomas          Mantaitis      2         1         9         3         10        1
Lukas          Mataitis       4         7         3         3         4         4
Tomas          Tomaitis       7         7         2         5         8         9
Kazys          Jonaitis       8         3         3         7         1         7
Jonas          Petraitis      5         1         10        3         4         10
Matas          Romaitis       5         8         10        10        8         8
Jonas          Mantaitis      6         2         6         5         10        3
Tomas          Tomaitis       7         2         8         2         5         3
Tomas          Romaitis       10        9         5         4         9         3
Mantas         Romaitis       10        4         1         10        3         8
Antanas        Jonaitis       7         6         3         9         9         3
Antanas        Valdaitis      10        2         5         9         8         4
Romas          Lukaitis       4         3         1         2         8         6
Jonas          Kazaitis       4         10        4         6         3         1
Romas          Jonaitis       3         9         2         10        8         3
Jonas          Mataitis       4         8         7         7         7         5
Tomas          Valdaitis      5         4         7         5         3         6
Lukas          Petraitis      1         4         5         8         2         9
Kazys          Valdaitis      4         9         7         5         6         9
Antanas        Kazaitis       6         2         9         7         2         7
Antanas        Jonaitis       10        7         10        9         4         7
Tomas          Mantaitis      1         8         4         7         9         3
Matas          Antanaitis     3         2         9         1         2         9
Valdas         Mataitis       8         5         8         1         1         6
Matas          Virgaitis      8         6         8         5         9         7
Virgis         Kazaitis       6         5         1         1         4         1
Kazys          Valdaitis      3         4         5         10        2         3
Antanas        Lukaitis       1         6         4         10        9         2
Mantas         Jonaitis       7         3         3         5         5         5
Romas          Valdaitis      1         10        3         6         4         9
Valdas         Petraitis      5         1         9         5         5         3
Lukas          Romaitis       9         5         5         8         8         10
Lukas          Mantaitis      9         7         8         8         7         1
Lukas          Valdaitis      9         2         6         9         2         8
Mantas         Kazaitis       2         4         3         6         2         7
Jonas          Kazaitis       7         2         10        10        10        5
Matas          Valdaitis      4         1         1         8         6         9
Mantas         Mataitis       2         9         3         6         2         9
Kazys          Lukaitis       10        9         3         4         5         6
Matas          Virgaitis      7         9         3         5         5         3
Lukas          Mantaitis      1         4         1         3         7         5
Romas          Kazaitis       8         6         2         2         2         5
Virgis         Kazaitis       1         10        3         8         4         10
Antanas        Romaitis       5         8         4         3         5         10
Valdas         Mantaitis      5         1         9         1         5         10
Valdas         Jonaitis       1         1         7         7         10        3
Lukas          Valdaitis      10        8         8         10        1         4
Valdas         Antanaitis     1         10        1         2         6         6
Mantas         Antanaitis     7         5         2         9         7         9
Antanas        Petraitis      2         3         10        10        4         7
Virgis         Kazaitis       9         1         7         8         3         1
Romas          Mantaitis      5         8         7         10        4         8
Matas          Valdaitis      5         1         8         8         8         3
Antanas        Romaitis       9         9         2         5         7         1
Matas          Antanaitis     8         2         4         9         6         2
Petras         Antanaitis     8         10        4         4         3         1
Lukas          Romaitis       5         8         10        7         9         5
Mantas         Petraitis      1         3         8         3         9         5
Kazys          Virgaitis      5         1         1         3         1         2
Petras         Kazaitis       5         1         6         9         3         2
Tomas          Kazaitis       5         7         3         7         2         5
Tomas          Petraitis      9         1         6         10        10        1
Kazys          Romaitis       9         5         7         4         5         3
Antanas        Valdaitis      6         1         4         4         8         9
Jonas          Jonaitis       3         3         9         4         7         1
Tomas          Mataitis       7         9         2         2         5         2
Antanas        Romaitis       5         2         4         9         5         8
Jonas          Tomaitis       4         5         2         3         7         9
Jonas          Kazaitis       3         4         7         5         9         1
Petras         Mantaitis      4         3         3         4         2         8
Petras         Antanaitis     3         2         6         2         4         4
Romas          Tomaitis       7         1         10        7         1         8
Mantas         Jonaitis       9         1         1         2         10        7
Kazys          Valdaitis      3         1         4         9         3         9
Romas          Valdaitis      2         1         10        7         10        4
Matas          Mantaitis      10        7         9         6         6         2
Matas          Virgaitis      5         9         6         10        1         7
Romas          Kazaitis       1         7         3         1         10        10
Romas          Kazaitis       6         6         2         8         10        7
Romas          Mantaitis      10        4         4         8         6         3
Antanas        Romaitis       3         8         9         1         3         6
Antanas        Lukaitis       7         1         3         1         10        8
Virgis         Virgaitis      5         5         8         7         1         5
Lukas          Antanaitis     3         10        3         2         7         8
Matas          Tomaitis       2         7         10        5         2         6
Antanas        Tomaitis       2         1         4         5         1         1
Tomas          Mantaitis      2         7         3         4         6         7
Virgis         Kazaitis       4         8         2         9         7         3
Kazys          Lukaitis       1         5         2         3         2         5
Tomas          Mataitis       8         5         2         9         5         3
Virgis         Romaitis       10        5         2         3         10        7
Valdas         Virgaitis      8         4         4         7         5         7
Virgis         Petraitis      10        1         1         3         9         4
Jonas          Valdaitis      2         8         3         8         9         9
Tomas          Virgaitis      8         10        5         10        4         4
Tomas          Lukaitis       3         3         10        8         8         5
Jonas          Jonaitis       4         7         2         3         6         8
Petras         Antanaitis     10        4         4         1         3         9
Matas          Virgaitis      3         3         2         5         5         5
Virgis         Petraitis      4         4         1         9         8         3
Mantas         Kazaitis       10        3         8         3         8         4
Jonas          Mataitis       1         7         10        1         5         4
Lukas          Antanaitis     6         3         8         4         9         5
Lukas          Valdaitis      3         4         7         5         3         2
Petras         Valdaitis      10        2         5         4         9         2
Virgis         Jonaitis       10        5         6         1         3         3
Virgis         Tomaitis       4         9         1         7         6         7
Virgis         Virgaitis      8         3         3         6         2         10
Romas          Kazaitis       4         8         4         8         1         6
Lukas          Antanaitis     1         3         6         1         8         7
Jonas          Mantaitis      5         10        10        5         8         8
Romas          Romaitis       3         10        6         3         10        4
Matas          Romaitis       9         4         1         10        5         9
Kazys          Romaitis       1         8         9         10        8         4
Tomas          Romaitis       2         2         2         4         5         4
Antanas        Tomaitis       7         3         6         9         3         4
Kazys          Mantaitis      9         6         8         10        4         9
Romas          Petraitis      8         2         8         4         5         10
Antanas        Valdaitis      9         10        1         7         4         5
Mantas         Kazaitis       7         5         4         3         7         5
Matas          Mantaitis      7         1         1         2         4         2
Virgis         Jonaitis       9         4         10        1         1         4
Antanas        Mantaitis      8         6         5         7         1         10
Valdas         Valdaitis      8         5         8         3         2         4
Antanas        Petraitis      2         2         10        7         5         1
Tomas          Romaitis       5         1         4         2         7         1
Matas          Romaitis       1         5         5         7         5         4
Antanas        Virgaitis      9         9         8         1         1         6
Petras         Lukaitis       10        2         10        3         10        5
Lukas          Mantaitis      4         3         7         6         9         5
Lukas          Petraitis      3         9         4         6         9         4
Valdas         Mataitis       4         7         5         6         3         7
Lukas          Jonaitis       5         6         5         8         8         3
Matas          Tomaitis       9         10        2         4         10        7
Virgis         Tomaitis       2         8         9         3         3         7
Romas          Lukaitis       6         6         2         4         4         6
Lukas          Virgaitis      10        9         2         6         2         8
Antanas        Tomaitis       7         1         7         10        2         2
Virgis         Antanaitis     1         8         8         1         9         1
Kazys          Valdaitis      6         9         5         6         6         7
Virgis         Mantaitis      8         2         5         2         7         2
Valdas         Antanaitis     2         5         4         2         3         2
Jonas          Mantaitis      9         10        6         10        9         5
Mantas         Tomaitis       10        2         4         5         4         1
Antanas        Kazaitis       2         8         10        7         6         4
Romas          Valdaitis      1         2         7         8         4         5
Romas          Valdaitis      2         4         1         6         10        1
Petras         Romaitis       9         5         4         3         7         7
Lukas          Antanaitis     10        7         5         1         4         9
Romas          Mataitis       10        9         4         3         5         3
Petras         Lukaitis       1         3         8         4         9         9
Lukas          Romaitis       4         8         1         10        4         4
Petras         Tomaitis       7         8         4         9         9         4
Romas          Mataitis       6         8         2         4         3         8
Romas          Mataitis       6         6         4         1         10        8
Mantas         Lukaitis       8         3         1         6         3         4
Romas          Jonaitis       3         2         2         10        1         7
Lukas          Jonaitis       3         3         6         7         8         6
Kazys          Valdaitis      1         9         3         8         6         3
Romas          Jonaitis       5         9         3         3         1         3
Valdas         Romaitis       9         10        8         1         6         2
Petras         Virgaitis      10        7         9         9         8         3
Tomas          Antanaitis     3         1         4         9         10        9
Antanas        Jonaitis       10        2         3         1         8         4
Petras         Virgaitis      5         6         5         8         1         6
Mantas         Mataitis       3         9         9         4         6         10
Lukas          Petraitis      3         10        10        3         8         9
Valdas         Mataitis       1         4         5         3         5         10
Romas          Mantaitis      6         10        7         1         3         10
Romas          Virgaitis      8         7         8         7         2         3
Tomas          Petraitis      2         6         8         3         7         3
Matas          Valdaitis      7         5         6         4         3         6
Antanas        Kazaitis       10        10        7         2         5         2
Lukas          Jonaitis       6         8         8         2         2         1
Lukas          Virgaitis      10        7         10        4         7         10
Kazys          Kazaitis       6         2         10        2         1         2
Antanas        Valdaitis      3         9         10        5         3         2
Virgis         Petraitis      10        6         10        1         3         10
Petras         Romaitis       4         8         7         10        5         6
Virgis         Virgaitis      7         10        4         6         3         10
Matas          Petraitis      4         4         6         1         6         7
Matas          Mataitis       3         5         2         8         7         4
Mantas         Jonaitis       1         4         7         9         10        6
Petras         Kazaitis       2         1         9         9         8         1
Petras         Antanaitis     7         3         9         4         3         8
Lukas          Romaitis       1         7         3         7         5         7
Romas          Mataitis       9         5         9         1         3         4
Valdas         Jonaitis       1         8         3         1         9         4
Romas          Lukaitis       8         8         8         10        6         5
Jonas          Lukaitis       5         1         1         7         10        4
Antanas        Lukaitis       4         4         7         9         7         9
Virgis         Virgaitis      3         1         10        9         5         8
Jonas          Mantaitis      1         1         10        9         10        5
Petras         Antanaitis     8         5         10        4         5         9
Petras         Tomaitis       2         7         10        3         7         7
Valdas         Virgaitis      2         3         4         8         6         1
Lukas          Kazaitis       6         5         10        9         2         6
Lukas          Mataitis       1         9         1         6         5         7
Lukas          Romaitis       4         8         1         3         3         3
Mantas         Mantaitis      8         4         5         6         2         7
Tomas          Kazaitis       10        7         10        4         6         5
Virgis         Mantaitis      7         9         1         4         2         10
Valdas         Jonaitis       3         2         10        1         5         3
Matas          Antanaitis     9         7         8         5         10        2
Jonas          Jonaitis       10        7         4         5         1         9
Tomas          Antanaitis     9         9         2         6         2         10
Matas          Valdaitis      2         8         6         7         7         7
Jonas          Romaitis       8         7         4         5         8         10
Tomas          Virgaitis      4         5         5         4         4         6
Mantas         Romaitis       1         9         7         2         10        1
Tomas          Lukaitis       10        4         3         1         5         10
Petras         Antanaitis     10        8         6         1         10        2
Lukas          Romaitis       9         10        1         6         7         10
Tomas          Kazaitis       8         1         7         2         9         10
Mantas         Valdaitis      8         6         4         9         4         2
Virgis         Petraitis      9         6         1         6         3         3
Matas          Virgaitis      10        10        6         5         4         8
Romas          Valdaitis      7         2         1         2         7         3
Antanas        Virgaitis      2         1         3         2         9         10
Kazys          Valdaitis      1         8         3         5         8         5
Matas          Mantaitis      4         1         7         5         2         7
Tomas          Kazaitis       9         6         9         1         9         1
Petras         Kazaitis       7         4         6         9         5         5
Petras         Virgaitis      9         3         4         8         9         3
Lukas          Romaitis       10        6         10        1         1         6
Petras         Mataitis       6         2         4         10        1         8
Petras         Petraitis      9         1         2         7         10        7
Valdas         Petraitis      9         8         1         9         2         6
Petras         Kazaitis       5         9         5         1         5         4
Mantas         Valdaitis      5         10        10        10        6         9
Matas          Kazaitis       6         6         9         7         5         2
Matas          Antanaitis     1         4         8         2         9         8
Mantas         Tomaitis       6         5         4         9         10        9
Antanas        Romaitis       10        8         9         7         7         9
Valdas         Romaitis       6         5         5         4         2         2
Valdas         Lukaitis       7         2         10        1         7         5
Matas          Petraitis      9         1         9         9         4         8
Lukas          Mantaitis      6         6         10        5         2         1
Petras         Mataitis       10        2         7         9         9         7
Virgis         Romaitis       1         8         6         2         4         6
Virgis         Mantaitis      1         10        10        10        10        8
Romas          Jonaitis       7         6         7         8         10        6
Virgis         Lukaitis       9         9         9         8         6         8
Jonas          Virgaitis      2         9         10        9         8         10
Jonas          Jonaitis       10        8         9         5         3         3
Antanas        Antanaitis     9         10        9         8         3         7
Petras         Mataitis       9         7         3         3         9         6
Romas          Kazaitis       8         1         1         3         6         9
Jonas          Tomaitis       2         6         1         3         7         2
Antanas        Kazaitis       4         6         7         5         9         9
Petras         Jonaitis       9         1         10        4         9         8
Valdas         Jonaitis       1         5         2         8         7         6
Romas          Tomaitis       2         2         2         6         5         4
Lukas          Kazaitis       6         6         10        8         6         4
Valdas         Kazaitis       5         9         4         8         8         1
Jonas          Romaitis       2         8         5         6         5         5
Jonas          Mantaitis      10        5         6         5         10        8
Virgis         Lukaitis       8         6         10        4         1         8
Matas          Jonaitis       1         7         8         6         8         2
Antanas        Jonaitis       4         9         7         6         3         2
Romas          Tomaitis       7         8         8         10        5         6
Romas          Valdaitis      10        9         4         4         9         6
Petras         Antanaitis     4         7         3         5         1         4
Jonas          Antanaitis     9         1         10        5         3         6
Antanas        Petraitis      10        7         10        2         2         10
Jonas          Mantaitis      6         8         10        5         4         1
Lukas          Antanaitis     5         8         1         8         1         7
Mantas         Virgaitis      10        9         3         2         6         8
Tomas          Mantaitis      4         6         1         2         8         2
Lukas          Romaitis       6         3         2         1         10        6
Mantas         Virgaitis      8         4         9         3         3         1
Antanas        Tomaitis       5         9         10        9         5         8
Lukas          Valdaitis      1         9         2         2         5         9
Petras         Virgaitis      4         6         10        5         4         6
Jonas          Mataitis       8         7         6         6         1         1
Valdas         Romaitis       2         9         1         3         7         8
Kazys          Valdaitis      1         10        6         1         3         2
Jonas          Mantaitis      2         4         3         3         1         6
Jonas          Mantaitis      6         1         5         8         2         8
Antanas        Antanaitis     6         10        3         10        2         3
Lukas          Lukaitis       8         5         6         3         10        7
Jonas          Petraitis      4         4         4         6         4         7
Jonas          Romaitis       4         7         8         5         1         5
Jonas          Jonaitis       2         5         5         2         3         9
Lukas          Kazaitis       3         7         7         6         9         1
Mantas         Mataitis       5         3         4         2         3         4
Kazys          Mantaitis      8         8         5         4         1         9
Mantas         Petraitis      5         6         2         8         2         10
Kazys          Petraitis      7         3         8         10        2         5
Virgis         Kazaitis       8         9         5         5         8         3
Tomas          Kazaitis       9         2         2         5         10        2
Mantas         Antanaitis     9         10        6         2         8         8
Matas          Antanaitis     4         4         3         7         4         7
Lukas          Kazaitis       1         7         1         1         10        2
Mantas         Romaitis       1         2         5         1         6         2
Petras         Virgaitis      5         6         1         4         8         8
Matas          Romaitis       6         4         9         8         3         7
Lukas          Lukaitis       5         10        4         5         4         8
Mantas         Petraitis      3         3         3         5         6         6
Valdas         Valdaitis      9         9         7         5         9         3
Tomas          Antanaitis     10        4         7         8         6         1
Matas          Romaitis       5         9         10        8         6         6
Petras         Kazaitis       7         3         3         4         7         2
Kazys          Petraitis      6         6         1         6         4         9
Antanas        Virgaitis      7         5         10        6         4         9
Kazys          Kazaitis       4         6         5         8         3         2
Romas          Jonaitis       6         5         4         7         5         2
Valdas         Valdaitis      3         7         10        4         9         10
Jonas          Tomaitis       5         4         10        4         3         10
Virgis         Romaitis       4         8         6         5         2         7
Valdas         Lukaitis       7         3         7         6         4         7
Valdas         Mantaitis      8         3         1         8         4         8
Petras         Petraitis      4         9         3         7         10        9
Lukas          Tomaitis       4         7         4         6         2         2
Mantas         Petraitis      6         6         5         4         5         8
Mantas         Mantaitis      8         1         3         4         6         1
Petras         Lukaitis       6         7         4         4         5         1
Valdas         Romaitis       6         9         5         2         10        7
Virgis         Mantaitis      1         5         3         6         10        3
Virgis         Valdaitis      3         7         5         7         4         7
Jonas          Romaitis       8         6         4         8         5         6
Antanas        Lukaitis       8         2         1         8         10        6
Mantas         Mantaitis      1         8         9         10        2         4
Romas          Mataitis       9         2         6         3         9         3
Jonas          Kazaitis       4         2         3         3         4         6
Virgis         Virgaitis      10        9         10        6         1         2
Jonas          Kazaitis       2         10        8         2         8         6
Petras         Mantaitis      2         5         6         8         3         1
Romas          Petraitis      2         2         3         2         10        10
Antanas        Petraitis      9         3         10        4         2         1
Antanas        Antanaitis     3         10        2         6         2         5
Virgis         Petraitis      10        9         9         10        7         1
Antanas        Virgaitis      2         5         2         7         2         6
Mantas         Virgaitis      1         10        5         5         6         2
Jonas          Tomaitis       6         4         1         9         10        2
Mantas         Antanaitis     7         10        9         3         6         9
Antanas        Jonaitis       10        6         9         4         1         9
Valdas         Jonaitis       1         10        4         8         7         3
Mantas         Valdaitis      10        9         3         7         4         7
Tomas          Romaitis       5         5         4         10        8         2
Petras         Antanaitis     1         3         6         3         1         1
Lukas          Mantaitis      1         4         9         1         1         4
Virgis         Lukaitis       7         2         9         8         7         2
Antanas        Mataitis       4         6         10        5         9         2
Valdas         Kazaitis       10        6         7         9         3         2
Lukas          Virgaitis      5         7         5         3         2         1
Lukas          Jonaitis       4         8         9         10        9         10
Virgis         Lukaitis       4         4         6         4         8         7
Lukas          Mantaitis      2         9         6         9         5         6
Virgis         Virgaitis      1         8         7         7         8         7
Kazys          Tomaitis       7         4         9         7         9         3
Petras         Lukaitis       1         8         3         1         7         5
Valdas         Valdaitis      5         7         5         6         10        1
Petras         Kazaitis       10        6         7         10        1         7
Antanas        Tomaitis       2         10        1         1         5         9
Valdas         Virgaitis      7         7         5         5         1         10
Romas          Kazaitis       10        6         1         8         2         2
Antanas        Antanaitis     1         1         1         8         7         1
Tomas          Mataitis       8         5         4         3         1         9
Kazys          Kazaitis       8         7         6         8         5         8
Antanas        Tomaitis       9         6         2         5         9         4
Antanas        Romaitis       10        2         6         8         8         5
Jonas          Tomaitis       4         7         7         5         10        4
Jonas          Virgaitis      2         5         9         9         7         7
Romas          Antanaitis     4         5         6         8         3         6
Virgis         Romaitis       7         8         9         4         1         9
Virgis         Jonaitis       1         2         9         9         9         6
Antanas        Lukaitis       7         3         8         1         5         2
Antanas        Mantaitis      4         1         6         7         6         4
Valdas         Mantaitis      9         9         2         4         4         10
Petras         Mantaitis      8         3         9         1         10        8
Tomas          Kazaitis       3         10        6         4         8         8
Kazys          Petraitis      5         8         10        9         7         6
Matas          Lukaitis       1         10        1         3         2         5
Romas          Romaitis       6         7         3         9         3         2
Petras         Petraitis      9         3         5         10        6         5
Petras         Valdaitis      2         2         5         9         1         9
Lukas          Jonaitis       4         1         5         7         9         6
Mantas         Kazaitis       3         5         8         8         1         5
Antanas        Petraitis      5         10        5         10        3         3
Kazys          Mantaitis      5         1         2         5         7         2
Petras         Kazaitis       9         5         6         8         10        7
Virgis         Antanaitis     6         2         5         5         10        10
Petras         Tomaitis       4         2         3         8         6         8
Kazys          Romaitis       3         2         9         1         9         4
Valdas         Jonaitis       2         1         2         5         10        9
Tomas          Antanaitis     10        1         5         6         2         4
Mantas         Tomaitis       3         6         10        1         4         3
Virgis         Antanaitis     9         3         2         5         4         4
Virgis         Tomaitis       4         7         4         2         6         5
Tomas          Petraitis      4         7         6         10        3         8
Tomas          Kazaitis       10        8         1         9         3         6
